MISSING DATA AT FF STATIONS:,Montalban (KIAT)(95)
obscd,obsnm,timestr,rf,rfday
11204101,Airport (PAGASA),2021-04-09 08:00,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 07:50,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 07:40,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 07:30,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 07:20,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 07:10,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 07:00,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 06:50,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 06:40,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 06:30,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 06:20,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 06:10,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 06:00,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 05:50,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 05:40,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 05:30,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 05:20,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 05:10,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 05:00,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 04:50,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 04:40,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 04:30,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 04:20,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 04:10,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 04:00,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 03:50,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 03:40,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 03:30,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 03:20,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 03:10,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 03:00,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 02:50,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 02:40,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 02:30,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 02:20,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 02:10,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 02:00,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 01:50,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 01:40,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 01:30,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 01:20,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 01:10,0.0,0.0
11204101,Airport (PAGASA),2021-04-09 01:00,0.0,0.0
